Скважина Значение
1	0,7
2	0,8
3	0,7
4	0,8
5	0,7
6	0,9
7	0,8
8	0,8
10	0,8
12	0,9
16	0,7
20	0,7
22	0,9
24	0,9
26	0,8
28	0,7
29	0,9
32	0,8
37	0,8
38	0,7
39	0,7
43	0,9
44	0,8
45	0,7
48	0,7
51	0,7
52	0,7
53	0,7
54	0,7
55	0,8
60	0,9
61	0,8
64	0,8
65	0,9
66	0,7
67	0,7
69	0,8
70	0,9
72	0,8
74	0,8
75	0,7
76	0,7
77	0,8
78	0,8
80	0,7
82	0,8
85	0,7
86	0,7
87	0,7
88	0,9
90	0,7
91	0,8
94	0,8
95	0,9
96	0,8
97	0,9
98	0,7
111	0,7
112	0,9
116	0,8
117	0,9
119	0,9
120	0,8
121	0,8
123	0,9
126	0,7
127	0,9
131	0,8
132	0,8
134	0,7
137	0,9
138	0,7
141	0,7
143	0,9
147	0,8
148	0,9
149	0,7
150	0,7
151	0,7
153	0,7
154	0,8
157	0,23
158	0,31
161	0,24
162	0,31
168	0,31
170	0,35
171	0,24
172	0,3
174	0,34
175	0,28
182	0,31
183	0,26
184	0,23
185	0,29
186	0,35
188	0,34
189	0,25
193	0,23
196	0,28
198	0,32
200	0,31
9	0,7
11	0,7
13	0,9
14	0,8
15	0,7
17	0,9
18	0,8
19	0,8
21	0,8
23	0,9
25	0,7
27	0,7
30	0,9
31	0,8
33	0,8
34	0,9
35	0,9
36	0,8
40	0,7
41	0,7
42	0,7
46	0,8
47	0,7
49	0,7
50	0,9
56	0,8
57	0,7
58	0,9
59	0,9
62	0,7
63	0,7
68	0,9
71	0,9
73	0,8
79	0,7
81	0,8
83	0,8
84	0,9
89	0,8
92	0,8
93	0,9
99	0,8
100	0,8
101	0,7
102	0,8
103	0,8
104	0,7
105	0,7
106	0,7
107	0,8
108	0,8
109	0,8
110	0,9
113	0,9
114	0,7
115	0,7
118	0,8
122	0,8
124	0,8
125	0,7
128	0,9
129	0,9
130	0,8
133	0,7
135	0,8
136	0,8
139	0,7
140	0,7
142	0,8
144	0,9
145	0,9
146	0,9
152	0,9
155	0,9
156	0,35
159	0,32
160	0,28
163	0,35
164	0,29
165	0,24
166	0,32
167	0,3
169	0,24
173	0,28
176	0,33
177	0,3
178	0,3
179	0,27
180	0,33
181	0,32
187	0,29
190	0,31
191	0,25
192	0,34
194	0,3
195	0,33
197	0,3
199	0,3
